Source, Candidate, Image, Final_Score, Text_Fidelity (Src-Tgt), Visual_Grounding (Tgt-Img), Image_Relevance (Src-Img), Fusion_Weight
Can you not hear the roar?,Vous n'entendez pas le rugissement ?,7a2c2848.jpeg,0.5874,0.6268,0.3275,0.3892,0.1515
Hand me the spade.,Tendez-moi le trèfle.,acf5e2d2.jpeg,0.504,0.5298,0.3612,0.4246,0.1803
Hand me the spade.,Tendez-moi la pelle.,e82edf58.jpeg,0.58,0.5998,0.4949,0.4825,0.2328
He had a nice cold beer out on the deck.,Il avait une bonne bière fraîche sur le pont.,06c95da3.jpeg,0.6242,0.6594,0.3402,0.3518,0.1238
He had a nice cold beer out on the deck.,Il avait une bonne bière fraîche sur la terrasse.,83a1ed92.jpeg,0.6218,0.6634,0.3234,0.3732,0.1393
I can't wait - it's my favourite show, you know!,J'ai tellement hâte – c'est mon spectacle préféré, tu sais !,ff9d31cd.jpeg,0.5715,0.5893,0.3896,0.3131,0.0981
I can't wait - it's my favourite show, you know!,J'ai hâte – c'est mon émission préférée, tu sais !,2cb5fd44.jpeg,0.5885,0.6285,0.2883,0.365,0.1332
The vault is sealed now.,Le caveau est maintenant fermé.,2f5bec21.jpeg,0.6394,0.6628,0.427,0.3314,0.1099
The vault is sealed now.,Le coffre est maintenant fermé.,a5abe0e7.jpeg,0.6081,0.6502,0.5017,0.6292,0.3959
Put that in the basket.,Mets ça dans le panier.,1ed01e54.jpeg,0.5162,0.5659,0.2761,0.455,0.2071
Put that in the basket.,Mets ça dans le panier.,97385ca1.jpeg,0.5343,0.5659,0.2809,0.353,0.1246
I dropped the cap.,J'ai laissé tomber le couvercle.,583f400d.jpeg,0.566,0.6209,0.3618,0.5185,0.2688
I dropped the cap.,J'ai fait tomber le capuchon.,c1f6e732.jpeg,0.6869,0.7432,0.407,0.4487,0.2014
He received a shot in the arm and immediately felt a sharp pain.,Il a reçu une balle dans le bras et a immédiatement ressenti une douleur vive.,b8a6fba1.jpeg,0.6801,0.7221,0.426,0.4067,0.1654
He received a shot in the arm and immediately felt a sharp pain.,Il a reçu une injection dans le bras et a immédiatement ressenti une douleur vive.,4de90a58.jpeg,0.7334,0.7844,0.555,0.5344,0.2856
I saw someone with a stick walking down the street.,J'ai vu quelqu'un avec une canne marcher dans la rue.,63bebc68.jpeg,0.7322,0.7945,0.569,0.6182,0.3822
I saw someone with a stick walking down the street.,J'ai vu quelqu'un avec un bâton.,a510fc0f.jpeg,0.6845,0.7312,0.4957,0.4973,0.2473
The bolt is broken, could you change it?,Le verrou est cassé, pourriez-vous le remplacer ?,da99e9f2.jpeg,0.6076,0.6373,0.427,0.4056,0.1645
The bolt is broken, could you change it?,Le boulon est cassé, pourriez-vous le remplacer ?,83ef42b8.jpeg,0.6688,0.7212,0.4491,0.4879,0.2381
When I moved to my new apartment, I found a box that had been left behind by the previous occupant.,En déménageant dans mon nouvel appartement, j'ai trouvé une boîte que l'ancien occupant avait laissée derrière lui.,60bc860f.jpeg,0.7169,0.772,0.3415,0.3829,0.1466
When I moved to my new apartment, I found a box that had been left behind by the previous occupant.,En déménageant dans mon nouvel appartement, j'ai trouvé une boîte qui avait été laissée par l'ancien occupant.,68daa555.jpeg,0.7446,0.8052,0.4545,0.457,0.2088
They are used to rowing.,Ils sont habitués à l'aviron.,70a67d59.jpeg,0.5272,0.5562,0.4314,0.5508,0.3034
They are used to rowing.,Ils sont habitués à se disputer.,a43d02d6.jpeg,0.3402,0.3372,0.4009,0.223,0.0497
That's a good swing!,Quel beau swing !,a9156d52.jpeg,0.5294,0.5214,0.5576,0.5334,0.2845
That's a good swing!,Quelle bonne balançoire !,58b6768c.jpeg,0.4217,0.4191,0.4366,0.4235,0.1794
He jumped over the fence.,Il a sauté par-dessus la clôture.,c038313d.jpeg,0.6673,0.7157,0.4539,0.4764,0.2269
He jumped over the fence.,Il a sauté par-dessus la barrière.,d23ee043.jpeg,0.6865,0.7249,0.5719,0.5791,0.3353
Please, leave a note on the table.,Veuillez laisser un mot sur la table.,05a623f7.jpeg,0.597,0.629,0.4131,0.4176,0.1744
Please, leave a note on the table.,S'il vous plaît, laissez un billet de un dollar sur la table.,db6e6046.jpeg,0.594,0.6149,0.4964,0.4623,0.2138
We have a new pitcher.,Nous avons un nouveau lanceur.,48d7df48.jpeg,0.6555,0.7051,0.4262,0.4649,0.2161
We have a new pitcher.,Nous avons une nouvelle verseuse.,0fd1864a.jpeg,0.6532,0.7111,0.4123,0.4904,0.2405
One of the organs unfortunately isn't working properly.,L'un des organes ne fonctionne malheureusement pas correctement.,e232b664.jpeg,0.6558,0.7137,0.4672,0.5536,0.3064
One of the organs unfortunately isn't working properly.,L'un des orgues ne fonctionne malheureusement pas correctement.,76e8c66d.jpeg,0.5789,0.5935,0.4859,0.3969,0.1576
It is renowned for its beautiful roses.,Elle est renommée pour ses belles roses.,798b2dc0.jpeg,0.687,0.7617,0.3702,0.4856,0.2358
It is renowned for its beautiful roses.,Elle est renommée pour ses magnifiques rosaces.,f5e4c464.jpeg,0.6555,0.7015,0.379,0.4077,0.1662
My husband loves squash!,Mon mari adore le squash !,b67c61e1.jpeg,0.6668,0.7307,0.4303,0.5198,0.2702
My husband loves squash!,Mon mari adore les courges !,2ebc106e.jpeg,0.5855,0.6141,0.3947,0.3877,0.1503
They were shooting in the village down by the postoffice.,Ils tiraient dans le village près du bureau de poste.,5bf09de0.jpeg,0.5681,0.6075,0.3358,0.4117,0.1695
They were shooting in the village down by the postoffice.,Ils tournaient un film dans le village près du bureau de poste.,e086f883.jpeg,0.6805,0.7157,0.4663,0.4053,0.1643
It needs a really good sweep.,Il faut bien balayer.,e6e67778.jpeg,0.5468,0.5561,0.5,0.4459,0.1988
It needs a really good sweep.,Il faut vraiment bien le nettoyer.,199ebdef.jpeg,0.5687,0.5957,0.4384,0.4549,0.2069
We changed coaches.,Nous avons changé d'entraîneur.,b15f1703.jpeg,0.5692,0.5916,0.3965,0.3607,0.1301
We changed coaches.,Nous avons changé de wagon.,b88b9c53.png,0.6545,0.7003,0.402,0.4264,0.1818
The tiles are old and broken, they need to be changed.,Les carreaux sont vieux et cassés, il faut les remplacer.,e53ec8b2.jpeg,0.6739,0.7353,0.5187,0.6292,0.3959
The tiles are old and broken, they need to be changed.,Les tuiles sont vieilles et cassées, elles doivent être remplacées.,f7f8b88e.jpeg,0.7163,0.7572,0.6044,0.6044,0.3653
Hand me that can please.,Tendez-moi cette boîte, s'il vous plaît.,8a3e80fe.jpeg,0.5559,0.5843,0.3776,0.3991,0.1593
Hand me that can please.,Passe-moi cette canette, s'il te plaît.,0aeabb58.jpeg,0.6411,0.6671,0.417,0.3408,0.1162
Be careful, the iron is hot!,Le forgeron travaille le métal incandescent.,8da55de2.jpeg,0.4794,0.4307,0.6677,0.5088,0.2589
Be careful, the iron is hot!,Attention, le fer est chaud !,e3d8747e.jpeg,0.5052,0.5486,0.3586,0.5438,0.2957
We have some left, but I'm going to buy a few more rolls just to be sure.,Il nous en reste, mais je vais en acheter quelques-uns d'autres, juste pour être sûr.,e6f207a4.jpeg,0.5588,0.5913,0.2633,0.3316,0.11
We have some left, but I'm going to buy a few more rolls just to be sure.,Il nous en reste, mais je vais en acheter quelques-uns d'autres, juste au cas où.,81c9adb9.jpeg,0.5673,0.6006,0.3405,0.3835,0.1471
Let me take a closer look at that skate.,Laisse-moi regarder de plus près cette patine.,df266432.jpeg,0.4947,0.5339,0.2817,0.4296,0.1845
Let me take a closer look at that skate.,Laissez-moi regarder de plus près cette raie.,dc59f028.jpeg,0.5163,0.5354,0.3724,0.3644,0.1328
What a chicken!,Quel poulet !,38758a2d.jpeg,0.6421,0.6494,0.6259,0.6747,0.4552
What a chicken!,Quelle poule !,fe92b00b.jpeg,0.5585,0.5735,0.4945,0.4847,0.2349
Next to the main square or the little one?,À côté de la place principale ou de la petite ?,adb41049.jpeg,0.584,0.6027,0.5141,0.5166,0.2668
Next to the main square or the little one?,À côté du grand carré ou du petit ?,e1c09d57.jpeg,0.4525,0.4585,0.4064,0.3613,0.1306
If we could just move the board over a bit, that would create some space.,Si on pouvait juste déplacer la planche un peu, ça créerait de l'espace.,0d3ac65b.jpeg,0.67,0.7104,0.3486,0.3548,0.1259
If we could just move the board over a bit, that would create some space.,Si on pouvait juste déplacer le plateau un peu, ça créerait de l'espace.,0c817ddc.jpeg,0.6548,0.6973,0.3579,0.3786,0.1434
She knows how to handle a paddle.,Elle sait manier une pagaie.,c02f7d1a.jpeg,0.6932,0.7411,0.4889,0.4842,0.2344
She knows how to handle a paddle.,Elle sait manier une raquette.,e98cf581.jpeg,0.6219,0.6479,0.5074,0.4761,0.2267
The man saw her duck.,L'homme a vu son canard.,d397a90f.jpeg,0.6626,0.7042,0.4782,0.4747,0.2254
The man saw her duck.,L'homme a vu son canard.,ca287619.jpeg,0.6651,0.7042,0.482,0.4616,0.213
Look at the bay, it's beautiful!,Regarde la baie, elle est magnifique !,eb47f13a.jpeg,0.6227,0.6853,0.4387,0.5835,0.3404
Look at the bay, it's beautiful!,Regardez le laurier, il est magnifique !,fb133b23.jpeg,0.4156,0.4122,0.4414,0.3592,0.129
How many degrees? Two degrees!,Combien de degrés ? Deux degrés !,494fe6e9.jpeg,0.6749,0.7176,0.4446,0.4306,0.1855
How many degrees? Two degrees!,Deux diplômes !,47cdb649.jpeg,0.5332,0.5118,0.6385,0.4517,0.204
Don't tell me, you've got a hive problem again?,Vous avez encore un problème d'essaimage ?,4d718cc3.jpeg,0.4268,0.4424,0.3077,0.3623,0.1313
Don't tell me, you've got a hive problem again?,Tu as encore une éruption cutanée, n'est-ce pas ?,c977626d.jpeg,0.3869,0.3824,0.4329,0.3099,0.0961
How did you get such a mark?,Comment avez-vous fait cette tache ?,40b0c994.jpeg,0.5253,0.5517,0.3019,0.3436,0.1181
How did you get such a mark?,Comment as-tu obtenu une telle note ?,0c5443fc.jpeg,0.6568,0.7098,0.4428,0.4978,0.2478
Just a single tear, but it was enough.,Une seule larme, mais elle suffisait.,b07cb134.jpeg,0.6803,0.7333,0.36,0.407,0.1657
Just a single tear, but it was enough.,Une seule déchirure, mais elle suffisait.,c80fe410.jpeg,0.598,0.6123,0.4166,0.2805,0.0787
By the way, the key tends to stick a little bit.,La clé a tendance à coincer un peu.,ec88710c.jpeg,0.6024,0.629,0.487,0.4808,0.2312
By the way, the key tends to stick a little bit.,La touche a tendance à rester un peu collée.,c23f7abf.jpeg,0.4916,0.5141,0.3586,0.4113,0.1692
I did not expect you to be so smart!,Je ne m'attendais pas à ce que vous soyez si intelligent !,5c9ce195.jpeg,0.6941,0.7324,0.382,0.3503,0.1227
I did not expect you to be so smart!,Je ne m'attendais pas à ce que tu sois si intelligent !,cb64d54b.jpeg,0.6771,0.7138,0.3615,0.3411,0.1164
Ow, that's far too hot!,Aïe, c'est beaucoup trop fort !,84d215e5.jpeg,0.4976,0.5092,0.3968,0.3397,0.1154
Ow, that's far too hot!,Oh, c'est beaucoup trop chaud !,5033f6e8.jpeg,0.5035,0.5229,0.3354,0.3397,0.1154
Oh don't stress, it's just a draft.,Ce n'est qu'un courant d'air.,bca445ea.jpeg,0.3903,0.3896,0.398,0.286,0.0818
Oh don't stress, it's just a draft.,Ne vous inquiétez pas, ce n'est qu'un brouillon.,d8db8c45.jpeg,0.5881,0.614,0.3975,0.3689,0.1361
The shell's got a crack in it.,La coquille est fissurée.,9e56c574.jpeg,0.6804,0.7049,0.6177,0.6249,0.3905
The shell's got a crack in it.,La carapace a une fissure.,aa957a15.jpeg,0.5112,0.5034,0.5606,0.3975,0.158
The carpet must have cost a fortune!,Ce tapis a dû coûter une fortune !,59a4bae4.jpeg,0.6431,0.6914,0.5039,0.589,0.3469
The carpet must have cost a fortune!,Il devait coûter une fortune, ce tapis !,97e8502f.jpeg,0.585,0.6856,0.3,0.5942,0.3531
Do me a favour and clear out the tray for me, please.,Pourriez-vous s'il vous plaît vider la litière pour moi ?,59b8c3ab.jpeg,0.5543,0.5674,0.4062,0.2976,0.0886
Do me a favour and clear out the tray for me, please.,Pourriez-vous me débarrasser de ce plateau, s'il vous plaît ?,5c9da7a4.jpeg,0.5113,0.5236,0.3867,0.3142,0.0987
The frame is made of wood.,Le cadre est en bois.,cc456922.jpeg,0.717,0.7467,0.6562,0.6987,0.4881
The frame is made of wood.,La charpente est en bois.,9375bb9e.jpeg,0.5564,0.5378,0.6411,0.4675,0.2186
